speaker,birth_date,gender,constituency_name,backbencher,ONS ID,vulnerability,under_30,over_65
David Davis,1948-12-23,M,Haltemprice and Howden,False,E14000724,29.94751166407465,30.80468599961591,21.19657926546843
Peter Bottomley,1944-07-30,M,Worthing West,True,E14001055,22.18226519641121,29.4423799670622,26.45897555001901
Norman Lamb,1957-09-16,M,North Norfolk,False,E14000848,6.729516363915076,26.60050800401678,29.55520113414851
Kevan Jones,1964-04-25,M,North Durham,True,E14000840,29.8932630995287,34.02161527571562,18.16465821852376
Jonathan Reynolds,1980-08-28,M,Stalybridge and Hyde,False,E14000967,19.04044091669218,37.17898408545891,15.05886200130804
James Heappey,1981-01-30,M,Wells,True,E14001026,12.46158144733166,32.51967208354707,21.59331778278922
Sammy Wilson,1953-04-04,M,East Antrim,False,N06000005,41.74553653357103,37.592,15.8
Dominic Grieve,1956-05-24,M,Beaconsfield,True,E14000550,43.80488327264939,32.73566965498506,19.65347580669504
Tom Brake,1962-05-06,M,Carshalton and Wallington,False,E14000621,2.697377494926408,38.90497471727408,13.10820167432492
Meg Hillier,1969-02-14,F,Hackney South and Shoreditch,True,E14000721,68.52440654695235,47.15394894869496,7.28555237918027
Ian Paisley,1966-12-12,M,North Antrim,False,N06000012,42.59801898472968,37.47,16.2
Alex Chalk,1976-08-08,M,Cheltenham,True,E14000630,4.506068897775907,39.12193540389255,16.2958795426588
Andrew Mitchell,1956-03-23,M,Sutton Coldfield,True,E14000985,29.01925914714896,32.74206945860978,20.03953441912793
Crispin Blunt,1960-07-15,M,Reigate,True,E14000893,32.72578637385504,35.23449664296411,16.38451697360983
Joan Ryan,1955-09-08,F,Enfield North,True,E14000691,21.09955729434778,42.63437260438803,12.12579934596761
George Freeman,1967-07-12,M,Mid Norfolk,True,E14000816,28.89631386074585,32.51602564102564,22.20452724358974
Heidi Alexander,1975-04-17,F,Lewisham East,True,E14000787,44.94184445244804,40.97998160577657,11.24689352875565
Anne-Marie Trevelyan,1969-04-06,F,Berwick-upon-Tweed,True,E14000554,27.90912536719416,29.59137853614728,22.13344251036742
Julian Lewis,1951-09-26,M,New Forest East,True,E14000827,42.82015340886968,31.89742923353475,21.0187772074589
Vicky Ford,1967-09-21,F,Chelmsford,True,E14000628,23.86915230390433,37.35582030657156,15.28684170587343
Catherine McKinnell,1976-06-08,F,Newcastle upon Tyne North,True,E14000833,21.43182571239231,35.67963034270312,18.05159799768964
Patrick Grady,1980-02-05,M,Glasgow North,False,S14000031,3.166731395453052,46.48361159193702,11.10614774694288
Ruth Cadbury,1959-05-14,F,Brentford and Isleworth,False,E14000593,19.7666682892794,40.77055913376272,10.56348984100314
Kevin Foster,1978-12-31,M,Torbay,True,E14000999,27.91065775589167,32.02652061112713,22.50648601902566
Rachael Maskell,1972-07-05,F,York Central,True,E14001061,34.98907474382158,44.63438706771817,13.17183951551855
Chris Stephens,1973-03-20,M,Glasgow South West,False,S14000035,0.1695969246424331,38.36078067135831,15.01089558103812
Damian Hinds,1969-11-27,M,East Hampshire,False,E14000680,46.65752237943979,33.36097059255684,18.96370773073613
Iain Duncan Smith,1954-04-09,M,Chingford and Woodford Green,True,E14000634,5.191541917761547,37.30955541185946,15.80505734608447
Theresa Villiers,1968-03-05,F,Chipping Barnet,True,E14000636,0.6369196903812496,37.26791280040725,14.83125396300894
Emma Dent Coad,1954-11-15,F,Kensington,True,E14000768,0.0517103187941153,37.45275533448796,11.10921516265816
Zac Goldsmith,1975-01-20,M,Richmond Park,True,E14000896,0.0710563713879677,36.30676274754806,13.31667322800952
Harriet Harman,1950-07-30,F,Camberwell and Peckham,True,E14000615,64.99686476694768,44.40771085876735,7.785124494913196
Richard Bacon,1962-12-03,M,South Norfolk,True,E14000941,27.29132234785882,31.20792724532298,21.40172924750237
Jim Fitzpatrick,1952-04-04,M,Poplar and Limehouse,True,E14000882,47.11803312136566,51.24237834479009,5.475164084042099
David Lammy,1972-07-19,M,Tottenham,True,E14001002,70.09465129005451,46.68090407545827,8.14936898875709
Geoffrey Clifton-Brown,1953-03-23,M,The Cotswolds,True,E14000991,42.71046196107334,29.95701348023872,22.40828846876174
Hilary Benn,1953-11-26,M,Leeds Central,True,E14000777,49.70947916011159,54.35101635346975,9.043702070335724
Yvette Cooper,1969-03-20,F,"Normanton, Pontefract and Castleford",True,E14000836,29.47490394584375,36.44759550352162,16.66868790521946
James Cleverly,1969-09-04,M,Braintree,True,E14000590,35.20620723923098,35.31275551921505,16.69358135731807
Fiona Onasanya,1983-08-01,F,Peterborough,True,E14000878,1.271523733713184,41.77136222641968,13.89692758244234
Chris Philp,1976-07-06,M,Croydon South,True,E14000656,18.61991282628924,36.82444130730097,15.32553782773531
Liz Saville Roberts,1965-12-16,F,Dwyfor Meirionnydd,False,W07000061,15.98128377487808,30.0973882970914,25.27528099052218
Richard Drax,1958-01-29,M,South Dorset,True,E14000936,22.53111393673178,31.70686637898238,22.2502418504549
Angela Eagle,1961-02-17,F,Wallasey,True,E14001010,48.22865178996133,36.68552390322436,16.91561200304101
Maria Eagle,1961-02-17,F,Garston and Halewood,True,E14000708,60.06688838234745,36.19660787946405,17.60443002343982
Bernard Jenkin,1959-04-09,M,Harwich and North Essex,True,E14000734,28.07141041434465,32.71470878578479,21.07381814193266
Robert Courts,1978-10-21,M,Witney,True,E14001046,34.86303280975594,33.90564903272602,18.38345469989216
Rebecca Pow,1960-10-10,F,Taunton Deane,True,E14000988,25.19626346089798,34.48047410311561,19.97694827883507
Jeremy Lefroy,1959-05-30,M,Stafford,True,E14000965,14.88521685540405,35.03963046559235,18.29300299196893
Tom Pursglove,1988-11-05,M,Corby,True,E14000648,4.483557511208894,37.02758426507052,15.20540604365162
Alison McGovern,1980-12-30,F,Wirral South,True,E14001043,18.41575395508353,31.51205885606815,22.14570195818122
Vicky Foxcroft,1977-03-09,F,"Lewisham, Deptford",False,E14000789,63.32377703585426,45.20194634263076,7.354622563748039
Helen Whately,1976-06-23,F,Faversham and Mid Kent,True,E14000700,35.00170857705682,34.83686048015172,17.93888194474376
Philippa Whitford,1958-12-24,F,Central Ayrshire,False,S14000010,2.810122651762149,32.97380760453684,19.05448517807877
Anneliese Dodds,1978-03-16,F,Oxford East,True,E14000873,43.2017218346445,51.47922621266724,10.39973489084959
Rushanara Ali,1975-03-14,F,Bethnal Green and Bow,True,E14000555,59.16088591725867,53.5368684733269,6.797712024634825
John Howell,1955-07-27,M,Henley,True,E14000742,39.0444666281371,32.261890156627,19.70923813029076
Jack Dromey,1948-09-29,M,"Birmingham, Erdington",False,E14000561,19.57438804847247,42.19763136901962,14.14019513592014
Thangam Debbonaire,1966-08-03,F,Bristol West,False,E14000602,52.13942576248463,52.63368941070799,7.202547075995252
Richard Graham,1958-04-04,M,Gloucester,True,E14000712,10.20879954134379,39.66172117407896,14.44862512928421
Clive Efford,1958-07-10,M,Eltham,True,E14000690,13.64099230852562,39.04232444657361,14.29048897603583
Chris Williamson,1956-09-16,M,Derby North,True,E14000662,4.139957264957265,41.74815346431028,15.07829710036582
Kerry McCarthy,1965-03-26,F,Bristol East,True,E14000599,26.3666607610386,39.30353997147891,14.95050750775942
Diana Johnson,1966-07-25,F,Kingston upon Hull North,True,E14000772,38.580895425893,46.62335333762248,11.64924641135709
Margaret Greenwood,1959-03-14,F,Wirral West,False,E14001044,12.20677572751473,30.78067881344912,22.94643760204598
Matt Western,1962-11-01,M,Warwick and Leamington,True,E14001019,2.231060956433263,39.07144327774347,14.95779287626107
Nick Thomas-Symonds,1980-05-26,M,Torfaen,False,W07000053,26.64654297535715,37.27622429353455,16.96873304729496
Kate Green,1960-05-02,F,Stretford and Urmston,True,E14000979,39.26002669801359,38.23329856504876,14.77888383679835
Liz McInnes,1959-03-30,F,Heywood and Middleton,False,E14000747,15.27524315652261,37.11956417117447,16.00573661616648
Amber Rudd,1963-08-01,F,Hastings and Rye,False,E14000735,0.6317788408866815,34.61253519039857,18.95836420210401
Diane Abbott,1953-09-27,F,Hackney North and Stoke Newington,False,E14000720,62.41607161888522,48.08647567871536,6.858227373551188
Antoinette Sandbach,1969-02-15,F,Eddisbury,True,E14000686,23.27013386854771,32.18852545163664,19.78676444828513
Margaret Hodge,1944-09-08,F,Barking,True,E14000540,45.31974244426267,47.58529346839665,9.227964321045189
Edward Davey,1965-12-25,M,Kingston and Surbiton,False,E14000770,6.632571005821995,39.98830528296131,12.95486517177675
Shailesh Vara,1960-09-04,M,North West Cambridgeshire,True,E14000855,28.14145739244581,37.47771087709198,14.36019222619362
Neil Coyle,1978-12-30,M,Bermondsey and Old Southwark,True,E14000553,22.16640180448044,47.23684418520099,6.930810451937212
Robert Jenrick,1982-01-09,M,Newark,True,E14000829,32.97300243450456,32.48531894033577,19.30117145254051
Barry Sheerman,1940-08-17,M,Huddersfield,True,E14000756,27.38741616097094,41.52220449966421,14.96075386165212
Tony Lloyd,1950-02-25,M,Rochdale,True,E14000897,29.61194149148749,42.48689763925607,13.15987199109503
Tracy Brabin,1961-05-09,F,Batley and Spen,True,E14000548,16.66232800297508,39.5666317574769,14.70263857867079
Paula Sherriff,1975-04-16,F,Dewsbury,False,E14000666,5.873198337607215,39.52317784521451,14.97610437753266
Mike Gapes,1952-09-04,M,Ilford South,True,E14000760,54.88839169571777,48.01923150303355,9.334147365207768
Stephen Doughty,1980-04-15,M,Cardiff South and Penarth,True,W07000080,29.2967518133081,41.85845237541297,13.56381741193988
Holly Lynch,1986-10-08,F,Halifax,True,E14000723,11.13596818294805,39.2851831656174,15.12021018192634
Marie Rimmer,1947-04-27,F,St Helens South and Whiston,False,E14000963,46.02919487198881,35.74912822754503,17.91628997486514
Andrea Leadsom,1963-05-13,F,South Northamptonshire,False,E14000942,35.1395427551617,34.73591127650559,14.65337779333468
Valerie Vaz,1954-12-07,F,Walsall South,False,E14001012,20.17607551279724,43.10203003930091,14.82060708228819
Amanda Milling,1975-03-12,F,Cannock Chase,True,E14000618,17.52799131016043,36.32492663807432,16.06472266113973
Pete Wishart,1962-03-09,M,Perth and North Perthshire,False,S14000054,0.0407569141193595,32.80254124397991,20.01741981760426
Ian Mearns,1957-04-21,M,Gateshead,True,E14000709,41.20846495499133,38.66738619770173,15.53552155418704
Steve McCabe,1955-08-04,M,"Birmingham, Selly Oak",True,E14000567,31.04419720322548,46.01843043423948,13.74499120758742
Anna McMorrin,1971-01-01,F,Cardiff North,True,W07000051,8.023528507170044,38.13014957895454,16.53426243275756
Siobhain McDonagh,1960-02-20,F,Mitcham and Morden,True,E14000823,44.42204580406501,42.24670371159171,10.88791651338845
Marsha De Cordova,1976-01-23,F,Battersea,True,E14000549,4.388099822005884,43.52772493416676,7.886869898509029
David Linden,1990-05-14,M,Glasgow East,False,S14000030,0.2073770945086545,37.24628727031418,15.54541086016338
Martyn Day,1971-03-26,M,Linlithgow and East Falkirk,True,S14000043,5.203765108567762,35.88841484595584,15.67429390859779
Jon Ashworth,1978-10-14,M,Leicester South,True,E14000783,51.98448047192035,50.84879324653986,10.37497799424916
Sajid Javid,1969-12-05,M,Bromsgrove,False,E14000605,30.6680236861584,31.9852195179256,20.43529801253778
Stephen Lloyd,1957-06-15,M,Eastbourne,False,E14000684,2.802159526297457,33.45655673267697,23.16007187511699
John Healey,1960-02-13,M,Wentworth and Dearne,False,E14001028,33.68375543268027,36.09823619471068,17.14204819529792
Angela Crawley,1987-06-03,F,Lanark and Hamilton East,False,S14000042,0.5270457697642164,32.93201932050086,18.04067150021023
John Lamont,1976-04-15,M,"Berwickshire, Roxburgh and Selkirk",True,S14000008,21.12017110012031,30.46587032519037,21.15796922361987
Leo Docherty,1976-10-04,M,Aldershot,True,E14000530,23.43820224719101,39.7211370066011,12.68066434441215
Owen Paterson,1956-06-24,M,North Shropshire,True,E14000849,29.41599669058796,34.11880922238846,19.53331798826102
Bambos Charalambous,1967-12-02,M,"Enfield, Southgate",True,E14000692,9.011339182254591,38.1514883826037,15.0605008525587
Fiona Bruce,1964-04-25,F,Congleton,True,E14000646,22.44135796980313,30.87320574162679,20.33601565898217
Simon Clarke,1984-09-28,M,Middlesbrough South and East Cleveland,True,E14000820,2.141957160856783,34.62284273802598,18.57022816883201
Marion Fellows,1949-05-05,F,Motherwell and Wishaw,False,S14000047,0.7584792253017221,37.06127240513483,15.643648300525
Bill Wiggin,1966-06-04,M,North Herefordshire,True,E14000847,43.05159734539729,29.5981857300692,23.44129790079665
Debbie Abrahams,1960-09-15,F,Oldham East and Saddleworth,False,E14000870,17.39481684631248,39.96122085412546,14.59336030157183
David Gauke,1971-10-08,M,South West Hertfordshire,False,E14000951,32.23253590094472,34.38547512558281,17.05457273357453
Alex Cunningham,1955-05-01,M,Stockton North,False,E14000970,20.39502936977838,38.58833244597047,16.08988080362478
Charlie Elphicke,1971-03-14,M,Dover,True,E14000670,12.38694531039526,34.14874001229256,19.81151403400943
Philip Dunne,1958-08-14,M,Ludlow,False,E14000799,38.59515709425656,29.01115995144773,23.86721189766313
Ann Clwyd,1937-03-21,F,Cynon Valley,True,W07000070,41.62631281051506,37.37382526975287,17.37730595196659
John Whittingdale,1959-10-16,M,Maldon,True,E14000806,46.67144735269511,32.12946383323761,18.99050643602824
Desmond Swayne,1956-08-20,M,New Forest West,True,E14000828,47.21421806677817,27.02101859337106,29.40225403014884
Stephen Crabb,1973-01-20,M,Preseli Pembrokeshire,True,W07000065,0.7441287295305353,33.46129238643634,21.27253972606317
Caroline Flint,1961-09-20,F,Don Valley,True,E14000667,11.23988866660868,35.41985972533774,18.19307558794572
Mark Harper,1970-02-26,M,Forest of Dean,True,E14000705,18.35532288909923,31.83005094757854,20.76432973179988
Ben Bradshaw,1960-08-30,M,Exeter,True,E14000698,29.0799848438374,43.61874752353818,14.95216890884734
Louise Ellman,1945-11-14,F,"Liverpool, Riverside",True,E14000793,74.85839233652645,52.19021928297946,10.25408980160111
Stephen Twigg,1966-12-25,M,"Liverpool, West Derby",True,E14000796,72.86495582667227,38.97853916078509,14.95631620221567
Andrew Selous,1962-04-27,M,South West Bedfordshire,True,E14000949,25.46598364338995,36.5457557016985,15.58447922690163
William Wragg,1987-12-11,M,Hazel Grove,True,E14000738,12.49433517628932,32.1725840880098,21.08673411390247
Chuka Umunna,1978-10-17,M,Streatham,True,E14000978,47.10995608925531,44.06411348504077,7.925525441997113
Nusrat Ghani,1972-09-01,F,Wealden,True,E14001023,39.07779835935433,32.40638440595036,20.90715384918913
Peter Bone,1952-10-19,M,Wellingborough,True,E14001025,23.40345604808415,36.25222543543176,16.14747689786076
Stella Creasy,1977-04-05,F,Walthamstow,True,E14001013,66.50395696155205,45.24235370248869,8.168034297115842
Chris Bryant,1962-01-11,M,Rhondda,True,W07000052,41.7354870051008,36.51690238013108,18.74784408416695
Liam Byrne,1970-10-02,M,"Birmingham, Hodge Hill",True,E14000563,66.8750269431392,51.95105113496277,10.48751623136475
Craig Mackinlay,1966-10-07,M,South Thanet,True,E14000948,12.83741683918558,34.78364389233954,21.01449275362319
Tim Loughton,1962-05-30,M,East Worthing and Shoreham,True,E14000682,9.612741683453509,33.03132550195784,20.27618095476131
David Hanson,1957-07-05,M,Delyn,True,W07000042,10.75650717946116,33.8023742517964,18.78687447322181
Henry Smith,1969-05-14,M,Crawley,True,E14000652,4.887315258687567,40.22627278441232,12.63450190905935
Ian Murray,1976-08-10,M,Edinburgh South,True,S14000024,32.42892976588629,40.70012995451592,15.42861784089854
Matt Warman,1981-09-01,M,Boston and Skegness,True,E14000582,38.64828937242007,33.0327288462295,21.58943393257543
Lloyd Russell-Moyle,1986-09-14,M,"Brighton, Kemptown",True,E14000597,20.05405734956409,39.24776393242107,16.70689222099665
Michael Tomlinson,1977-10-01,M,Mid Dorset and North Poole,True,E14000815,31.78803829734322,31.61536271706708,21.6120208433899
Steve Double,1966-12-19,M,St Austell and Newquay,True,E14000961,20.55264517081089,32.97921757922162,20.96924040151072
Daniel Zeichner,1956-11-09,M,Cambridge,False,E14000617,22.63560625022348,47.58497472546627,11.48509674045668
Angela Smith,1959-01-07,F,Penistone and Stocksbridge,True,E14000876,2.655311627533292,30.90884076082595,20.00894280047236
Paul J Sweeney,1989-01-16,M,Glasgow North East,True,S14000032,0.7616050354051928,39.08262864863605,15.34581964730822
Peter Grant,1960-10-12,M,Glenrothes,False,S14000036,8.086833832520608,35.04786430050943,17.0374517158372
Susan Elan Jones,1968-06-01,F,Clwyd South,True,W07000062,11.62405934781448,35.74250652668612,17.31561239162909
Damian Green,1956-01-17,M,Ashford,False,E14000536,29.18886420948914,37.03470869488224,16.75048698423942
Emily Thornberry,1960-07-27,F,Islington South and Finsbury,False,E14000764,42.17153322649795,45.63103958852868,8.90644482543641
Jeremy Quin,1968-09-24,M,Horsham,True,E14000753,37.88536305999645,34.25625892064961,16.93380395787525
Alistair Carmichael,1965-07-15,M,Orkney and Shetland,False,S14000051,19.60304162907591,33.62161919309911,17.96208104951029
James Duddridge,1971-08-26,M,Rochford and Southend East,True,E14000899,11.7422959701998,37.61078305006845,16.48631635742334
Paul Flynn,1935-02-09,M,Newport West,True,W07000056,13.02546157742069,37.50073184154752,16.98106579548249
Ronnie Campbell,1943-08-14,M,Blyth Valley,True,E14000575,18.62791244998823,34.54133910969406,17.12098717355855
Bob Stewart,1949-07-07,M,Beckenham,True,E14000551,29.22138291690877,33.90146073484961,17.91152842744021
Andrew Bowie,1987-05-28,M,West Aberdeenshire and Kincardine,True,S14000058,15.39951573849879,33.71606149820085,15.49776469305419
Nigel Mills,1974-10-28,M,Amber Valley,True,E14000533,18.11791927702954,33.42739779024384,18.14002708146058
Gavin Robinson,1984-11-22,M,Belfast East,False,N06000001,19.75751923525297,35.311,17.4
Chi Onwurah,1965-04-12,F,Newcastle upon Tyne Central,False,E14000831,40.26796786542298,46.56697939013587,12.1887440897399
Stephen Kerr,1960-09-26,M,Stirling,True,S14000057,0.299862225463976,37.11480714040356,17.21165246490188
Tulip Siddiq,1982-09-16,F,Hampstead and Kilburn,True,E14000727,26.64064238875477,39.19562424512843,11.03862634530614
Geoffrey Robinson,1938-05-25,M,Coventry North West,True,E14000650,17.21198018014404,40.20243476881592,16.21956538980093
Sarah Jones,1972-12-20,F,Croydon Central,True,E14000654,9.899984235693893,41.68780785493221,12.09450329105096
Clive Betts,1950-01-13,M,Sheffield South East,True,E14000920,27.06211579043949,36.67319572095826,17.46486149077681
Chris Ruane,1958-07-18,M,Vale of Clwyd,True,W07000060,6.149829386826595,34.47771480007314,20.75638879903236
Jess Phillips,1981-10-09,F,"Birmingham, Yardley",True,E14000568,37.24326996539482,43.50465626112537,13.90694972736982
Helen Hayes,1974-08-08,F,Dulwich and West Norwood,True,E14000673,50.15050852287908,41.3507987914096,8.67091241338134
Rupa Huq,1972-04-02,F,Ealing Central and Acton,True,E14000674,24.94850204184887,40.44666259137993,10.59379160770062
Lilian Greenwood,1966-03-26,F,Nottingham South,True,E14000867,31.50283612790625,53.06546556443566,11.90116539873481
Julie Elliott,1963-07-29,F,Sunderland Central,True,E14000982,22.16089202190153,37.40101116283726,17.19877859538469
Andrew Gwynne,1974-06-04,M,Denton and Reddish,False,E14000661,35.54887749690649,36.80445521483829,16.26083511976885
Christine Jardine,1960-11-01,F,Edinburgh West,False,S14000026,5.659626858604034,33.56073526624976,18.60459931556477
Graham Stringer,1950-02-17,M,Blackley and Broughton,True,E14000571,48.86445790641438,46.9012405872474,11.15535330552395
Mark Hendrick,1958-11-02,M,Preston,True,E14000885,44.16945248195073,47.9278328761342,11.34416543574594
Keir Starmer,1962-09-02,M,Holborn and St Pancras,False,E14000750,51.71279895587912,45.47116674776249,10.31538903879329
Suella Fernandes,1980-04-03,F,Fareham,True,E14000699,37.80650366576631,32.89506071545783,19.36843616672137
Mark Garnier,1963-02-26,M,Wyre Forest,False,E14001058,26.07913317295468,32.24291911201837,20.88594029089053
Stephen Gethins,1976-03-28,M,North East Fife,False,S14000049,0.0047821720625508,35.99732029873707,20.27640622286182
Andrew Rosindell,1966-03-17,M,Romford,True,E14000900,27.58689732500401,37.51225311281206,16.27839072309008
Darren Jones,1986-11-13,M,Bristol North West,True,E14000600,8.801020408163266,39.73256356079319,16.82488666686506
Caroline Johnson,1977-12-31,F,Sleaford and North Hykeham,True,E14000929,38.35585209052084,30.98977092637948,21.44863852470825
Ben Bradley,1989-12-11,M,Mansfield,True,E14000810,2.107382817951632,35.96864051461719,17.17879501464591
Chris Green,1973-08-12,M,Bolton West,True,E14000580,1.833352920437184,35.01581625636089,16.61394581213038
Luke Pollard,1980-04-10,M,"Plymouth, Sutton and Devonport",True,E14000880,13.29284486798938,46.35250773600487,12.51916986542528
Jo Swinson,1980-02-05,F,East Dunbartonshire,False,S14000018,10.30675083492597,31.94178895451501,20.5053887840224
Ronnie Cowan,1959-09-06,M,Inverclyde,True,S14000038,0.9822730412094236,33.79026814751181,18.13339878505246
Boris Johnson,1964-06-19,M,Uxbridge and South Ruislip,False,E14001007,10.78082837195357,43.41563176146299,12.55915508264422
Alok Sharma,1967-09-07,M,Reading West,False,E14000890,5.555770196654175,38.99208687682923,13.55972289287228
Kirsty Blackman,1986-03-20,F,Aberdeen North,False,S14000001,11.26044018826346,44.83111566018424,12.94679591386196
Richard Harrington,1957-11-04,M,Watford,False,E14001021,3.569356765057158,39.23356864120665,13.30644100495462
Jo Churchill,1964-03-18,F,Bury St Edmunds,True,E14000613,29.66698841698842,34.78949312971727,19.32915779658333
Greg Clark,1967-08-28,M,Tunbridge Wells,False,E14001004,30.37318526443948,35.9731607499762,16.3605215570572
Robert Neill,1952-06-24,M,Bromley and Chislehurst,False,E14000604,20.55205520552055,36.18855279636253,16.54462784741575
